"game_id","namagame","genre","deskripsi","tahun","gambar","popular","harga","usia"
"15","Red Dead Redemption 2","Action, Adventure, FPS, Openworld, Shooter, Story
","Red Dead Redemption 2 adalah permainan video aksi-penjelajahan tahun 2018 yang dikembangkan dan diterbitkan oleh Rockstar Games. Game ini adalah entri ketiga dalam seri Red Dead dan merupakan prekuel dari game Red Dead Redemption tahun 2010.","2010","reddead.jpg","1","428800","0"
"16","Dark Soul III","Action, Adventure, Difficult, RPG, Multiplayer, Singleplayer, Story
","Game ini dikenal sebagai game action RPG dengan tingkat kesulitan tinggi. ... Dark Souls 3 dirilis pada tahun 2016 silam dan hadir untuk konsol generasi terkini dan juga PC gaming. Sekuel ketiganya ini juga bisa dibilang game paling cepat penjualannya dalam sejarah Bandai Namco.","2016","dark.jpg","1","587000","0"
"17","Assassin Creed
ODYSEEY
","Action, Adventure, Assassin, Multiplayer, Openworld, Parkour, RPG, Singleplayer, Simulation, Stealth, Story
","Layla akan menyelami memori dari Alexios/Kassandra, yang merupakan cucu dari raja sekaligus pahlawan Sparta yang sangat melegenda – Leonidas. Bersetting pada masa Yunani kuno, kalian akan dibawa ke tahun 400-an sebelum masehi, jauh sebelum ordo Assassin ada, itulah mengapa seri ini disebut juga sebagai sebuah prequel.","2018","odyssey.jpg","0","619000","0"
"18","Assassin Creed
ORIGINS","Action, Adventure, Assassin, Multiplayer, Openworld, Parkour, RPG, Singleplayer, Simulation, Stealth, Story
","Assassin's Creed: Origins bakal menceritakan kisah awal mula terbentuknya Brotherhood of Assassins. Dalam game ini Anda akan banyak sekali berperan sebagai Bayek, seorang Medjay atau ""penjaga"" dari kota Siwa di Mesir Kuno.","2017","origins.jpg","0","619000","0"
"19","Battlefield V ","Action, BattleRoyale, FPS, Military, Multiplayer, OpenWorld, Shooter,
Singleplayer","Battlefield V merupakan video game bergenre tembak-menembak orang-pertama yang dikembangkan oleh DICE dan diterbitkan oleh Electronic Arts. Battlefield V ialah bagian keenam belas dalam seri Battlefield. Ini dirilis di seluruh dunia untuk Microsoft Windows, PlayStation 4, dan Xbox One pada 20 November 2018.","2018","battlefield.jpg","1","569000","0"
"20","Brawlhalla ","Action, Competitive, Fighting, Multiplayer, Singleplayer","Brawlhalla adalah permainan pertarungan 2D gratis untuk dimainkan yang dikembangkan oleh Blue Mammoth Games untuk Nintendo Switch, Xbox Series X|S, Xbox One, PS5, PS4, Steam, iOS, dan Android, dengan permainan lintas permainan di semua platform.","2014","brawlhalla.jpg","1","0","0"
"21","Call of Duty: Black
Ops III","Action, FPS, Multiplayer, Sci-fi, Shooter, Singleplayer, Story","Call of Duty : Black Ops III mengambil setting 40 tahun setelah event di Black Ops II yaitu pada tahun 2065 dimana dunia sedang dilanda krisis perubahan iklim dan juga kemajuan teknologi yang terlampau pesat sehingga mulai menjadi ancaman bagi kehidupan umat manusia sendiri.","2015","blackops.jpg","1","800000","1"
"22","Counter-Strike :
Global Offensive","Action, Competitive, FPS, Multiplayer, Shooter","Counter Strike: Global Offensive adalah sebuah permainan dengan mode FPS yang dikembangkan oleh Valve Corporation dan Hidden Path Entertainment. Kedua perusahaan ini juga merupakan perusahaan yang mengembangkan Counter Strike: Source.","2012","csgo.jpg","0","0","0"
"23","DayZ","Action, Adventure, FPS, Horror, Multiplayer, Openworld, PVP,
Simulation, Survival, Zombies","DayZ merupakan video game bertahan hidup yang kembangan dan terbitan dari Bohemia Interactive. Game ini adalah penerus mandiri dari mod dari nama yang sama untuk pertandingan ARMA 2. Setelah periode akses awal selama lima tahun untuk Windows, game ini secara resmi rilis pada Desember 2018.","2013","dayz.jpg","0","330000","1"
"24","Dead by Deadlight","Action, FPS, Horror, Multiplayer, Survival
","Dead by Daylight adalah game horor multiplayer 4v1 asimetris dimana seorang Killer harus dapat menangkap serta memburu 4 Survivor lainnya. Memainkan gameplay hide and seek seperti dengan tema yang gelap tentunya akan sedikit memacu jantung para gamer.","2016","dbd.jpg","0","67999","1"
"25","Don’t Starve","Adventure, Horror, Multiplayer, OpenWorld, Sandbox, Simulation,
Singleplayer, Survival","Don't Starve adalah game adventure survival karya developer indie Klei Entertainment yang populer di pertengahan tahun 2013 dengan gaya visual unik. Dalam Don't Starve, kamu akan berperan sebagai Wilson, seorang ilmuwan yang dijebak oleh demon untuk masuk ke dunia misterius dan liar.","2013","dont.jpg","0","17499","0"
"26","Don’t Starve
Together","Adventure, Horror, Multiplayer, OpenWorld, Sandbox, Simulation,
Singleplayer, Survival","Don't Starve together merupakan game yang mirip dengan don't starve tetapi dengan penambahan alur cerita dan fitur seperti multiplayer hingga 6 orang.","2016","donttogether.jpg","0","32639","0"
"27","Dying Light","Action, FPS, Horror, Multiplayer, Openworld, PvP, Survival, Story, Zombies
","Dying Light merupakan sebuah game bertema survival horror yang dibuat oleh Techland. Yang merupakan developer dari game series Dead Island.","2015","dying.jpg","0","128900","1"
"28","Euro Truk Simulator 2","Adventure, Driving, Multiplayer, Openworld, Simulation","Euro Truck Simulator (berjudul Big Rig Europe di Amerika Utara) adalah permainan video simulasi truk yang dikembangkan dan diterbitkan oleh SCS Software pada tahun 2008. Dalam permainan ini, pemain dapat mengemudi truk melintasi kota-kota di berbagai negara di Eropa untuk mengantar barang.","2008","truck.jpg","0","42499","0"
"29","Fall Guys: Ultimate
Knockout","Action, BattleRoyale, Competitive, Funny, Multiplayer, PvP","Fall Guys: Ultimate Knockout adalah game battle royale platform yang dikembangkan oleh Mediatonic dan diterbitkan oleh Devolver Digital. Ini dirilis untuk Microsoft Windows dan PlayStation 4 pada 4 Agustus 2020. Gim ini akan hadir di Nintendo Switch, Xbox One dan Xbox Series X/S pada pertengahan 2021.","2020","fallguys.jpg","0","54499","0"
"30","Forza Horizon 4","Action, Adventure, Driving, Multiplayer, Openworld, Racing,
Singleplayer, Sports","Forza Horizon 4 atau biasa di kenal sebagai FH4 adalah game open-world racing yang dikembangkan oleh Playground Games dan Turn 10 Games. Judul racing ini pertama kali dirilis pada tanggal 2 Oktober 2018 untuk konsol Xbox One dan PC serta memiliki latar lokasi di Great Britain.","2018","forza.jpg","1","249999","0"
"31","Halo: The Master
Chief Collection","Action, Adventure, FPS, Horror, Multiplayer, Sci-fi, Singleplayer, Story","Halo adalah waralaba media fiksi ilmiah militer yang berpusat pada serangkaian permainan video yang dikelola dan dikembangkan oleh 343 Industries, sebuah divisi dari Xbox Game Studios.","2014","halo.jpg","1","169999","0"
"32","Human Fall Flat","Action, Adventure, Fantasy, Funny, Multiplayer, Openworld,
Puzzle, Singleplayer, Simulation","Human: Fall Flat adalah game platformer fisika berlatar alam mimpi yang ringan dan kocak. Mode multiplayer online hingga 4 pemain akan mengubah cara Human: Fall Flat dimainkan","2016","human.jpg","0","42499","0"
"33","Left 4 Dead 2","Action, Adventure, FPS, Horror, Multiplayer, Shooter,
Singleplayer, Zombies","Left 4 Dead 2 adalah permainan video kooperatif, horor sintasan dan tembak-menembak orang-pertama yang mengikut Left 4 Dead. Permainan ini dikembangkan oleh Valve Corporation. Permainan ini menggunakan engine Source, dan tersedia untuk Windows dan Xbox 360.","2009","l4d.jpg","0","13999","0"
"34","Metal Gear Solid V ","Action, Adventure, Openworld, Sci-fi, Shooter, Singleplayer, Stealth, Story","Metal Gear Solid V: The Phantom Pain adalah game third-person shooter/stealth/open world yang sangat luas. Format game ini telah berubah dari yang tadinya linear dengan berbagai level menjadi open-world/sandbox di mana kamu bebas melakukan apapun yang kamu inginkan.","2015","metal.jpg","1","235999","1"
"35","Ori and the Will of
the Wisps
","Action, Adventure, Fantasy, Funny, Puzzle, Singleplayer, Story","Ori and The Will of The Wisps melanjutkan akhir dari cerita game pertama. Ku, anak dari Kuro yang merupakan musuh utama di The Blind Forest kini diadopsi oleh Naru dan Gumo. Karena sayapnya yang rusak sejak lahir, Ku tak mampu terbang layaknya burung yang lain.","2020","ori.jpg","0","46199","0"
"36","Phasmophobia","Horror, Multiplayer, Action, Dark, FPS, Thriller","Phasmophobia adalah game 'berburu' hantu besutan developer Kinetic Games yang menegangkan, menakutkan, dan menyenangkan dalam waktu bersamaan.","2020","phasmo.jpg","0","76499","0"
"37","Portal","Action, Adventure, FPS, Puzzle, Sci-fi, Story
","Portal adalah sebuah permainan video yang dikembangkan oleh Valve Corporation. Permainan ini dirilis dalam bentuk paket bundel yang disebut The Orange Box untuk Microsoft Windows dan Xbox 360 pada 9 Oktober 2007, dan untuk PlayStation 3 pada 11 Desember 2007.","2007","portal.jpg","0","69999","0"
"38","PUBG:
BATTLEGROUND","Action, BattleRoyale, FPS, Multiplayer, Shooter, Survival","PlayerUnknown's Battlegrounds (sering disingkat PUBG) adalah sebuah permainan video dengan genre battle royale, di mana 100 orang sekaligus dapat bermain secara online.","2017","pubg.jpg","1","219999","0"
"39","Resident Evil 2: Remake","Action, Adventure, Horror, Multiplayer, Singleplayer, Story, Zombies","Resident Evil 2 adalah permainan horor kesintasan yang dikembangkan dan diterbitkan oleh Capcom dan dirilis untuk PlayStation pada tahun 1998. ... Alur permainan berfokus pada eksplorasi, teka-teki, dan pertempuran; perbedaan utama dari seri sebelumnya adalah memiliki alur bercabang.","2019","re.jpg","1","319999","1"
"40","Rise of the Tomb
Raider","Action, Adventure, Multiplayer, Puzzle, RPG, Shooter,
Singleplayer, Story","Setelah Lara berhasil selamat dari tragedi di pulau Yamatai pada seri sebelumnya, ia masih dihantui oleh rasa penasaran terhadap peristiwa supernatural yang menimpa dia di pulau tersebut. Rasa penasaran membuatnya berpaling pada catatan eksplorasi tentang makam nabi dari Konstantinopel yang ditinggalkan mendiang ayahnya.","2015","tomb.jpg","1","114000","1"
"41","Rust","Action, Adventure, Craft, FPS, Multiplayer, PVP, Sandbox, Shooter, Simulation,
Survival","Awalnya didesain sebagai tiruan DayZ serta mengadaptasi elemen-elemen dari Minecraft, Rust terus berevolusi hingga menjadi permainan survival sejati berkat penambahan formula crafting serta digantinya zombi dengan beruang dan serigala. Kreasi Facepunch Studios ini juga memicu kemunculan game-game sejenis dan membantu mempopulerkan genre survival.","2013","rust.jpg","0","113899","1"
"42","SCP: Secret
Laboratory","Action, Adventure, Fantasy, FPS, Horror, Multiplayer, Sci-fi,
Shooter, Singleplayer, Survival","SCP - Containment Breach adalah sebuah permainan petualangan teror supranatural yang menarik, dengan adegan acak yang menarik. Ceritanya selalu sama, namun lorong di kompleks akan berubah setiap kali Anda bermain.","2017","scp.jpg","0","0","0"
"43","The Elder Scrools V:
Skyrim Special","Action, Adventure, Openworld, RPG, Singleplayer, Story","Skyrim adalah game pertama dalam seri Elder Scrolls yang menambahkan naga ke dalam dunia game. Seperti monster lainnya, naga akan muncul secara acak di dunia game dan akan terlibat dalam pertempuran dengan NPC, monster lain, dan pemain.","2011","skyrim.jpg","1","329999","1"
"44","The Forest","Action, Adventure, Craft, FPS, Horror, Multiplayer, Openworld,
Singleplayer, Simulation, Survival","The Forest adalah game yang bercerita tentang bagaimana si tokoh utama sedang melakukan perjalanan dengan anaknya (Timy) menggunakan pesawat terbang, yang di tengah perjalannya mengalami kecelakaan. Di dalam perjalanan mencari Timy kita akan menemukan bahwa pulau tersebut ialah tempat sebuah lab besar yang tersolir.","2014","forest.jpg","0","43599","1"
"45","Titanfall 2","Action, FPS, Military, Multiplayer, Shooter, Sci-fi","Titanfall 2 masih mengusung mekanisme FPS dengan gerakan akrobat serta didukung kehadiran robot-robot Titan yang kuat.","2016","titanfall.jpg","0","379000","0"
"46","Tomb Raider","Action, Adventure, Multiplayer, Puzzle, RPG, Shooter,
Singleplayer, Story","Tomb Raider adalah game single person dengan genre action-adventure dan action role-playing. Enam game pertama Tomb Raider dikembangkan oleh Core Design kemudian diteruskan oleh Crystal Dynamics dan berhasil menelurkan empat sekuel lanjutannya.","2001","tombraider.jpg","0","23999","1"
"47","Tom Clancy’s
Rainbow Six Siege","Action, Competitive, FPS, Multiplayer, Shooter","Tom Clancy's Rainbow Six Siege adalah permainan video penembak taktis online yang dikembangkan oleh Ubisoft Montreal dan diterbitkan oleh Ubisoft. ... Permainan ini sangat menekankan pada perusakan lingkungan dan kerja sama antar pemain.","2015","rainbow.jpg","0","82000","0"
"48","Warhammer:
Vermintide 2","Action, Adventure, FPS, Multiplater, Singleplayer, Survival","Warhammer: End Times – Vermintide (saya akan menyingkatnya menjadi Vermintide) adalah sebuah game yang terinspirasi dan memang sangat mirip dengan Left 4 Dead. Pertama kali memainkannya, saya sudah langsung merasakan kemiripannya, tidak hanya secara mekanisme namun juga musuh-musuh yang kamu lawan.","2018","warhammer.jpg","0","34999","0"
"49","War Thunder","Action, Multiplayer, Military, PvP, Shooter, Singleplayer, Simulation, War","War Thunder adalah game pertempuran multipemain kendaraan yang dikembangkan dan diterbitkan oleh studio pengembang gim video Moskow, Gaijin Entertaiment. Diumumkan pada tahun 2011, pertama kali dirilis pada November 2012 sebagai beta terbuka dengan rilis di seluruh dunia pada Januari 2013","2013","war.jpg","0","0","0"
"50","Back 4 Blood","Action, Adventure, FPS, Horror, Multiplayer, Singleplayer, Survival, Zombies","Back 4 Blood merupakan game FPS co-op bertema zombie dari kreator Left 4 Dead yang diakui menampilkan gameplay menegangkan. Gameplay Back 4 Blood sebagian besar mirip Left 4 Dead, di mana keduanya adalah game kooperatif 4 pemain dan 8 pemain dalam mode PvP dengan fokus pada multiplayer.","2021","blood.jpg","1","749000","1"
"51","Among Us","Action, Funny, Multiplayer, Sci-fi","Among Us adalah sebuah permainan pemain jamak daring yang dikembangkan dan dipublikasikan oleh studio permainan asal Amerika Serikat, InnerSloth, dan dirilis pada tanggal 15 Juni 2018. Di map baru ini, para pemain dapat menemukan tugas baru dan juga tangga.","2018","among.jpg","0","29999","0"
"52","Resident Evil Village","Action, Adventure, Horror, Multiplayer, Singleplayer, Story, Zombies","Resident Evil Village menghadirkan tokoh dan plot cerita yang melanjutkan seri sebelumnya yaitu kisah Ethan Winters dan Mia serta sang anak bayi bernama Rosemary. Mereka pindah ke lokasi di Eropa untuk memulai hidup baru.","2021","rev.jpg","1","568159","1"
"53","New World","Action, Adventure, Craft, Fantasy, MMORPG, OpenWorld, Survival","New World merupakan game multiplayer online yang mengajak pemain untuk bergabung dengan faksi, bertarung dengan monster, hingga menjajah pulau fiksi di wilayah Samudra Atlantik.","2021","newworld.jpg","0","249999","0"
"54","Battlefield 2042","Action, Adventure, FPS, Military, Multiplayer, Shooter, Story","Battlefield 2042 memperlihatkan adanya kaum Non Patriated atau No Pat. Mereka berusaha untuk bertahan hidup dan mempertahankan kekuasaannya. Bahkan terdapat sosok misterius bernama Oz yang kini sedang bentrok dengan Irlandia. Bentrok tersebut mengatasnamakan masa depan No-Pats.","2021","2042.jpg","0","659000","0"
"55","Assassins Creed Valhalla","Action, Adventure, Assassin, Multiplayer, Openworld, Parkour, RPG, Singleplayer, Simulation, Stealth, Story
","Mengambil setting pada masa 873 Masehi, Assassin's Creed Valhalla menceritakan kisah seorang Viking bernama Eivor Varinsdottir yang berusaha membawa clan barunya untuk membuat kampung halaman baru di daratan Inggris.","2020","valhalla.jpg","1","156000","0"
"56","Batman: Arkham City","Action, Adventure, Fighting, Multiplayer, Openworld, Singleplayer, Story, Superhero","Batman Arkham City merupakan salah satu game yang cukup menarik untuk dimainkan kembali. Kami menyempatkan waktu untuk mengunjungi kembali game legendaris yang mendapatkan predikat Game of the Year beberapa tahun yang lalu ini. Mengunjunginya kembali memberikan kami sengatan untuk mencari berbagai hal unik dan rahasia yang ada di game tersebut.","2011","arkham.jpg","1","135999","0"
"57","Cuphead","Action, Cartoon, Difficult, Funny, Multiplayer, Shooter, Singleplayer","Game menceritakan tentang kisah dua karakter gelas antropormofis bernama Cuphead dan Mugman di suatu tempat bernama Inkwell Isle. Dua karakter polos ini mengujungi sebuah kasino yang pengasuh mereka – Elder Kettle larang untuk dekati. Kedua saudara ini tak patuhi nasihat tersebut dan tetap memasuki kasino.","2017","cuphead.jpg","1","203398","0"
"58","Far Cry Primal","Action, Adventure, Fps, Hunting, OpenWorld, RPG, Shooter, Singleplayer, Story, Survival","Far Cry Primal akan membawa Anda pada kehidupan manusia di tahun 10.000 sebelum Masehi, dimana teknologi masih berkisar pada usaha untuk memanipulasi bentuk batu dan kayu untuk satu tujuan – bertahan hidup. ... Jika alam masih tak cukup menyeramkan, eksistensi manusia juga harus terancam oleh manusia itu sendiri.","2016","farcry.jpg","1","515000","1"
"59","Farcry 4","Action, Adventure, Fps, Hunting, OpenWorld, RPG, Shooter, Singleplayer, Story, Survival","Ajay Ghale, seorang pemuda berdarah India yang tinggal di Amerika kembali ke tanah kelahirannya Kyrat karena suatu urusan dengan ibunya. ... Ajay Ghale memutuskan bergabung dengan Golden Path untuk membebaskan tanah kelahirannya, berbagai rintangan ia lewati untuk menyelesaikan semua kekacauan ini.","2014","farcry4.jpg","1","309000","0"
"60","Watch Dogs","Action, Adventure, Driving, Hacking, Multiplayer, Openworld, Parkour, Shooter, Singleplayer, Story, Strategy","Bersetting versi fiksi kota Chicago, alur ceritanya mengikuti seorang Peretas bernama Aiden Pearce yang balas dendam setelah tragedi pembunuhan keponakannya. Game ini dimainkan dari perspektif orang ketiga, dan dunia dinavigasi dengan berjalan kaki atau dengan kendaraan.","2014","dog.jpg","0","308999","0"
"61","Watch Dogs 2","Action, Adventure, Driving, Hacking, Multiplayer, Openworld, Parkour, Shooter, Singleplayer, Story, Strategy","Watch Dogs 2 (gaya tulisan WATCH_DOGS 2) adalah sebuah permainan aksi-petualangan yang dikembangkan oleh Ubisoft Montreal dan diterbitkan oleh Ubisoft. ... Permainan ini dinavigasi dengan berjalan kaki atau dengan kendaraan.","2016","dogs2.jpg","1","619000","0"
"62","Horizon Zero Dawn","Action, Adventure, Hunting, Openworld, RPG, Scifi, Singleplayer, Story","Dimulai dari Seorang Bayi perempuan yang di Urus Oleh seorang “Outcast” atau Orang Buangan dari Suku Nora bernama Rost. Bayi ini Bernama Aloy. sewaktu kecil, Aloy ingin menjadi salah satu bagian dari komunitas Suku, tetapi Aloy selalu Diijauhi, diabaikan bahkan dihindari karena statusnya sebagai Outcast.","2017","horizon.jpg","1","209000","1"
"63","Borderlands 2","Action, Adventure, FPS, Funny, Multiplater, Scifi, Shooter, Singleplayer","Borderlands 2 adalah sebuah permainan video penembak orang pertama bermain peran aksi dunia terbuka yang dikembangkan oleh Gearbox Software dan diterbitkan oleh 2K Games. Permainan tersebut adalah permainan kedua dalam serial Borderlands dan sekuel dari permainan video tahun 2009 Borderlands.","2012","borderlands.jpg","1","135999","1"
"64","SMITE","Action, Adventure, Competitive, MOBA, Multiplayer, RPG","Smite merupakan game yang dikembangkan dan dirilis oleh Hi-Rez Studios, perusahaan game asal Amerika Serikat yang juga sukses dengan game Paladins.","2014","smite.jpg","1","0","0"
"65","Forza Horizon 5","Action, Adventure, Driving, Multiplayer, Openworld, Racing,
Singleplayer, Sports","Forza Horizon 5 adalah game balap 2021 yang dikembangkan oleh Playground Games dan diterbitkan oleh Xbox Game Studios. Ini adalah judul Forza Horizon kelima dan angsuran utama kedua belas dalam seri Forza. Permainan diatur dalam representasi fiksi dari Meksiko.","2021","forza5.jpg","1","699000","0"
"66","Football Manager 2022","Football, Multiplayer, Singleplayer, Soccer, Sports, Strategy","Football Manager 2022 atau yang lebih sering disebut FM 22 adalah sebuah game simulasi di mana pemain akan berperan sebagai manajer dari sebuah klub sepak bola. Dalam game tersebut, pemain akan mengatur strategi, menyusun pemain, bahkan hingga mengatur porsi latihan dari setiap anggota tim.","2021","fm.jpg","0","549999","0"
"67","Deathloop","Action, Adventure, FPS, Multiplayer, Parkour, Shooter, Stealth, Story","DEATHLOOP adalah pandangan Arkane tentang pengalaman multipemain pembunuhan, memadukan gameplay pemain tunggal dengan drama multipemain dengan mulus. Pemain akan mengalami cerita utama sebagai Colt, memburu target di seluruh pulau Blackreef untuk memecahkan lingkaran dan mendapatkan kebebasannya.","2021","deathloop.jpg","0","799000","1"
"68","Borderlands 3","Action, Adventure, FPS, Funny, Multiplater, Scifi, Shooter, Singleplayer","Borderlands 3 adalah game FPS action role-playing yang dikembangkan oleh Gearbox Software dan diterbitkan oleh 2K Games. Ini adalah sekuel Borderlands 2 2012, dan entri keempat dalam seri Borderlands utama.","2019","border3.jpg","1","555000","1"
"69","It Takes Two","Action, Adventure, Multiplayer, Puzzle, Story","It Takes Two adalah sebuah statement yang tidak hanya cantik, tetapi memiliki mekanisme kerja sama (co-op) yang ciamik dan kisah yang paik. ... Kisah It Takes Two bermula dari pasangan suami istri May dan Cody yang hendak bercerai. Anak keduanya, Rose, jelas tidak ingin May dan Cody berpisah.","2021","it.jpg","1","479000","0"
"70","Batman: Arkham Asylum","Action, Adventure, Fighting, Multiplayer, Openworld, Singleplayer, Story, Superhero","Batman Arkham Asylum mengisahkan mengenai ditangkapnya Joker oleh Batman dan dibawa ke sebuah tempat bernama Arkham Asylum. ... Rencananya ini tidak diketahui oleh Batman sehingga Batman cukup kesulitan untuk menghadapi Joker di sana. Bahkan polisi yang bertugas juga banyak yang menjadi korban dari kecerdasan Joker.","2009","asylum.jpg","1","139599","0"
"71","Batman: Arkham Origins","Action, Adventure, Fighting, Multiplayer, Openworld, Singleplayer, Story, Superhero","Arkham Origins membawa Batman ke dalam konflik dengan penguasa brutal crima dan lord Black Mask (Brian Bloom). Orang paling kuat di kota dan penguasa dunia kriminal Gotham, Black Mask memiliki kekayaan dan sumber daya yang sangat besar, telah menghilangkan penentangnya dan mengkonsolidasikan kekuatannya.","2013","batorigins.jpg","1","135999","1"
"72","Batman: Arkham Knight","Action, Adventure, Fighting, Multiplayer, Openworld, Singleplayer, Story, Superhero","Batman Arkham: Knight diposisikan sebagai kelanjutan dari Seri Arkham City – dimana musuh utama Batman, Joker akhirnya meregang nyawa. ... Batman justru harus berhadapan dengan ancaman yang jauh lebih besar. Scarecrow mengambil alih – mengumpulkan penjahat terbesar di Gotham untuk menghancurkan Batman, selamanya.","2015","knight.jpg","1","135999","1"
"73","Saints Row IV","Action, Adventure, Comedy, Funny, Multiplayer, OpenWorld, Sci-fi, Singleplayer, Superhero, Third Person","Saint Row IV mengisahkan tentang dunia yang diserang oleh alien dari planet luar. Sang pemimpin dari organisasi The Saint, akhirnya terpilih menjadi presiden Amerika serikat. Disaat pemilihan berlangsung, sang ketua Honcho dari Saint harus menyelamatkan dunia dari serangan alien.","2013","row.jpg","1","115999","1"
"74","No Man's Sky","Action, Adventure, Craft, FPS, Multiplayer, OpenWorld, Sci-fi, Simulation, Singleplayer, Space, Survival","Jelajahi dan bertahan hidup di alam semesta yang dihasilkan secara prosedural dengan 18,4 triliun planet. Ini adalah permainan tentang eksplorasi dan kelangsungan hidup di galaksi yang dihasilkan secara prosedural tak terbatas. ... Anda dapat terbang dengan mulus dari permukaan satu planet ke planet lain, dan setiap bintang di langit adalah matahari yang dapat Anda kunjungi.","2020","sky.jpg","1","347999","0"
"75","ARK: Survival Evolved","Action, Adventure, Craft, Multiplayer, Openworld, RPG, Sandbox, Sci-fi, Singleplayer, Survival","Apa itu ARK: Survival Evolved? Sebagai seorang pria atau wanita terdampar, telanjang, membeku, dan kelaparan di pantai tak kenal ampun dari sebuah pulau misterius yang disebut ARK, gunakan keahlian Anda dan licik untuk membunuh atau menjinakkan dan menunggangi kebanyakan dinosaurus leviathan dan makhluk purba lainnya berkeliaran di tanah.","2015","ark.jpg","1","139999","0"
